cell_id,centroid_lon,centroid_lat,kecamatan,density,pop_density_norm,poi_count,poi_log,poi_score,traffic_raw,traffic_score,signal_score,construction_index,vendor_hotspot_score,label,label_confidence,suitability_score,zone_class
0,107.55224999999999,-6.99775,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,4786.518608858001,0.2552830263333453,0.9678430668918323,0.0,0.031841929980140994,0,0.4095525789940423,0.00892603,Not Suitable
1,107.55224999999999,-6.99325,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,2315.052730505804,0.12347046265966556,0.9923655935606022,0.20210960666724714,0.0014636093768374948,0,0.35477716113763325,0.0022973074,Not Suitable
2,107.55224999999999,-6.988749999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,2153.3747325173285,0.11484756740096273,0.9725575731176207,0.01851100413133229,0.018234183981960247,0,0.3490297144457915,0.0018997561,Not Suitable
3,107.55224999999999,-6.984249999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,2042.515338011633,0.1089350192549004,0.8877616113147736,0.08981199248583174,0.0716471965915809,0,0.35766293304609975,0.0020499513,Not Suitable
4,107.55224999999999,-6.979749999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,4125.665331462199,0.2200372373994628,0.8709767880786815,0.04604039596811118,0.006934733346603738,0,0.40208042000398114,0.0011410133,Not Suitable
5,107.55224999999999,-6.97525,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,5575.693895734393,0.2973727102987353,0.9293766461366001,0.21985085008375105,0.008806654353685236,0,0.4026419963061056,0.017932186,Not Suitable
6,107.55224999999999,-6.970749999999999,Jawa Barat,205400.0,0.45237821360786795,1.0,0.6931471805599453,0.23137821315975918,10777.334998604148,0.5747957793709201,0.9958495606253371,0.08595434318517178,0.10208843600782326,1,0.730626530802347,0.9788719,Highly Suitable
7,107.55224999999999,-6.96625,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,8697.543380785417,0.4638726760204112,0.9470562638875837,0.1603861581317909,0.10697330115828176,0,0.4320919903474846,0.045844983,Not Suitable
8,107.55224999999999,-6.961749999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,5556.020571273685,0.29632345796801773,0.9991002149055676,0.07737401932103546,0.07327918395903062,0,0.4219837551877092,0.04599925,Not Suitable
9,107.55224999999999,-6.957249999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,1127.3248947906754,0.06012447340547284,0.9567225308599129,0.10598465086569697,0.007492025390570711,0,0.27740319937401225,0.0026976485,Not Suitable
10,107.55224999999999,-6.952749999999997,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,2061.2591639932775,0.10993469793844393,0.9522791740910147,0.10954798575208646,0.0010214918171120727,0,0.3377248199681886,0.001926478,Not Suitable
11,107.55224999999999,-6.948249999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,2285.9567701795445,0.12191866574563776,0.8974358910845863,0.32005876475655354,0.07274699555763262,0,0.374222430849337,0.0015450654,Not Suitable
12,107.55224999999999,-6.943749999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,2493.1407164569596,0.132968564249219,0.8823801105286655,0.13901752492585173,0.01107960507800064,0,0.36953458683492396,0.0014713521,Not Suitable
13,107.55224999999999,-6.939249999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,2093.864335158659,0.11167365425500596,0.9860650153611042,0.185116111870312,0.010970361600560101,0,0.34288317629892545,0.0029195843,Not Suitable
14,107.55224999999999,-6.9347499999999975,Jawa Barat,205400.0,0.45237821360786795,1.0,0.6931471805599453,0.23137821315975918,7268.172393269629,0.38763894932584986,0.9633520200305015,0.18217888117080747,0.06677550934991833,1,0.7200326528049754,0.984821,Highly Suitable
15,107.55224999999999,-6.930249999999997,Jawa Barat,205400.0,0.45237821360786795,0.0,0.0,0.0,6354.614234714033,0.3389154593521563,0.9591495966130185,0.2030666828414663,0.017509150725553035,0,0.4052527452176659,0.06936221,Not Suitable
