cell_id,centroid_lat,centroid_lon,pop_density_norm,poi_score,traffic_score,signal_score,construction_index,vendor_hotspot_score,label
0,-6.99775,107.55224999999999,0.45237821360786795,0.0,0.2552830263333453,0.9678430668918323,0.0,0.031841929980140994,0
1,-6.99325,107.55224999999999,0.45237821360786795,0.0,0.12347046265966556,0.9923655935606022,0.20210960666724714,0.0014636093768374948,0
2,-6.988749999999999,107.55224999999999,0.45237821360786795,0.0,0.11484756740096273,0.9725575731176207,0.01851100413133229,0.018234183981960247,0
3,-6.984249999999999,107.55224999999999,0.45237821360786795,0.0,0.1089350192549004,0.8877616113147736,0.08981199248583174,0.0716471965915809,0
4,-6.979749999999999,107.55224999999999,0.45237821360786795,0.0,0.2200372373994628,0.8709767880786815,0.04604039596811118,0.006934733346603738,0
5,-6.97525,107.55224999999999,0.45237821360786795,0.0,0.2973727102987353,0.9293766461366001,0.21985085008375105,0.008806654353685236,0
6,-6.970749999999999,107.55224999999999,0.45237821360786795,0.23137821315975918,0.5747957793709201,0.9958495606253371,0.08595434318517178,0.10208843600782326,1
7,-6.96625,107.55224999999999,0.45237821360786795,0.0,0.4638726760204112,0.9470562638875837,0.1603861581317909,0.10697330115828176,0
8,-6.961749999999998,107.55224999999999,0.45237821360786795,0.0,0.29632345796801773,0.9991002149055676,0.07737401932103546,0.07327918395903062,0
9,-6.957249999999998,107.55224999999999,0.45237821360786795,0.0,0.06012447340547284,0.9567225308599129,0.10598465086569697,0.007492025390570711,0
10,-6.952749999999997,107.55224999999999,0.45237821360786795,0.0,0.10993469793844393,0.9522791740910147,0.10954798575208646,0.0010214918171120727,0
11,-6.948249999999998,107.55224999999999,0.45237821360786795,0.0,0.12191866574563776,0.8974358910845863,0.32005876475655354,0.07274699555763262,0
12,-6.943749999999998,107.55224999999999,0.45237821360786795,0.0,0.132968564249219,0.8823801105286655,0.13901752492585173,0.01107960507800064,0
13,-6.939249999999999,107.55224999999999,0.45237821360786795,0.0,0.11167365425500596,0.9860650153611042,0.185116111870312,0.010970361600560101,0
14,-6.9347499999999975,107.55224999999999,0.45237821360786795,0.23137821315975918,0.38763894932584986,0.9633520200305015,0.18217888117080747,0.06677550934991833,1
15,-6.930249999999997,107.55224999999999,0.45237821360786795,0.0,0.3389154593521563,0.9591495966130185,0.2030666828414663,0.017509150725553035,0
16,-6.925749999999998,107.55224999999999,0.45237821360786795,0.0,0.447401272234355,0.8716318783347734,0.2555084625559227,0.0037882536616452907,0
17,-6.921249999999997,107.55224999999999,0.45237821360786795,0.23137821315975918,0.3131123198184991,0.9439406944740873,0.32833683887381115,0.051478912587160336,1
18,-6.916749999999997,107.55224999999999,0.45237821360786795,0.0,0.34851632304386415,0.8750451265998365,0.22199771600497595,0.026411207775961475,0
19,-6.912249999999998,107.55224999999999,0.45237821360786795,0.0,0.20618542224765557,0.8956616445640045,0.2037139454180423,0.03643615932589704,0
20,-6.9077499999999965,107.55224999999999,0.45237821360786795,0.0,0.27500499025189556,0.9628113150435014,0.22749624981264394,0.004625789532588222,0
21,-6.9032499999999954,107.55224999999999,0.45237821360786795,0.0,0.13140245613331347,0.8674655389329421,0.18779025167449065,0.019917698695229517,0
22,-6.898749999999996,107.55224999999999,0.45237821360786795,0.0,0.28263025018300564,0.9053250787451729,0.16882932390799107,0.05800706977479208,0
23,-6.894249999999996,107.55224999999999,0.45237821360786795,0.23137821315975918,0.07145294845912735,0.9679470667957594,0.19645278348487658,0.0189520750759104,0
24,-6.889749999999995,107.55224999999999,0.214700638408006,0.0,0.1727291697236168,0.831073929651193,0.148615429720546,0.0,0
25,-6.885249999999996,107.55224999999999,0.214700638408006,0.23137821315975918,0.1222982260263013,0.8824278834359233,0.11087376457431782,0.013906134586409102,0
26,-6.8807499999999955,107.55224999999999,0.214700638408006,0.23137821315975918,0.18029566271507114,0.883645012186713,0.09886535075711536,0.03845090326795924,0
27,-6.876249999999994,107.55224999999999,0.214700638408006,0.23137821315975918,0.30268608348967163,0.9092450166105657,0.1736374109492898,0.02161351363074077,0
28,-6.871749999999995,107.55224999999999,0.214700638408006,0.23137821315975918,0.36067500215994747,0.8752692918873533,0.07429826891783792,0.08406654185148377,0
29,-6.867249999999995,107.55224999999999,0.214700638408006,0.23137821315975918,0.3946246714476353,0.9034099010220504,0.1342237680951655,0.1228690126018233,0
30,-6.862749999999996,107.55224999999999,0.214700638408006,0.0,0.3787046942209326,0.860085509667155,0.030124301011421845,0.002648325977694052,0
31,-6.858249999999995,107.55224999999999,0.214700638408006,0.0,0.2659579248156036,0.8747955120934924,0.09153835932500906,0.018141462929822338,0
32,-6.853749999999995,107.55224999999999,0.214700638408006,0.0,0.09381275718235983,0.8668104773706254,0.07136585448242551,0.023627981701962966,0
33,-6.849249999999993,107.55224999999999,0.214700638408006,0.0,0.06705101970630738,0.9241201040557309,0.016191756930950246,0.06299146544193474,0
34,-6.99775,107.55674999999998,0.45237821360786795,0.0,0.20220854974674532,0.9001417491550758,0.005046710260324132,0.01695646191469936,0
35,-6.99325,107.55674999999998,0.45237821360786795,0.0,0.40576740733763583,0.9746562785584056,0.18941717886608256,0.03338778340710561,0
36,-6.988749999999999,107.55674999999998,0.45237821360786795,0.0,0.2492561925258015,0.9105842948760596,0.08439459861241587,0.03811453247289343,0
37,-6.984249999999999,107.55674999999998,0.45237821360786795,0.0,0.16017946393704446,0.8883717450140837,0.05739446160199733,0.07692938049002453,0
38,-6.979749999999999,107.55674999999998,0.45237821360786795,0.0,0.16624701846730885,0.975136570708495,0.10492120628088758,0.16288021326560592,0
39,-6.97525,107.55674999999998,0.45237821360786795,0.0,0.40387393442736425,0.9091085557732219,0.0780099695912989,0.027725232983616732,0
40,-6.970749999999999,107.55674999999998,0.45237821360786795,0.0,0.35002451092906417,0.9111833570646334,0.14958568588977675,0.014596548045367513,0
41,-6.96625,107.55674999999998,0.45237821360786795,0.0,0.3274514715721722,0.8711414446236891,0.1018426493000343,0.014351327650881538,0
42,-6.961749999999998,107.55674999999998,0.45237821360786795,0.23137821315975918,0.6283721428781216,0.8774676522872832,0.08176133651349839,0.027398717690410496,0
43,-6.957249999999998,107.55674999999998,0.45237821360786795,0.0,0.19560633723184484,0.9520608295915169,0.24265512198712846,0.12661446534815224,0
44,-6.952749999999997,107.55674999999998,0.45237821360786795,0.0,0.2160508306711789,0.8800781368422113,0.19362887830449493,0.1482140486705728,0
45,-6.948249999999998,107.55674999999998,0.45237821360786795,0.0,0.16496127430801055,0.9578197115321094,0.19940365500323298,0.07536850200944366,0
46,-6.943749999999998,107.55674999999998,0.45237821360786795,0.0,0.2526022793336944,1.0,0.28506361402108904,0.012120880923580359,0
