sub_cell_id,parent_cell_id,centroid_lon,centroid_lat,resolution,pop_density_norm,working_pop_density,func_mixture_degree,recreational_density,catering_density,commercial_density,public_service_density,open_space_density,business_office_density,floor_area_proxy,trunk_road_density,secondary_road_density,intersection_density,suitability_score,zone_class
0,0,107.551125,-6.998875,250m,0.43651576410471,0.9271556838814297,0.0019484477525138664,0.007110743657952882,0.0,0.0075885954773595166,0.0,0.007443345758991994,0.007103938104242018,0.8171915306448465,0.14612678228733694,0.2515966615175667,0.3873904466081725,0.36174506,Moderately Suitable
1,0,107.551125,-6.996625000000001,250m,0.45718963927863343,0.9510332970306036,0.0,0.0,0.00032619543891554165,0.004588802910461499,0.027799117190326048,0.033445394416421075,0.0,0.771553713234908,0.15166000599491358,0.2359794567784864,0.3972224401202777,0.3846423,Moderately Suitable
2,0,107.551125,-6.994375,250m,0.41445168661588666,0.9800142018037452,0.0,0.009097380114107892,0.0,0.0,0.0,0.0,0.01222063918442381,0.8751557640655848,0.0009473970472126095,0.15692440424060325,0.26289330880451756,0.31296474,Not Suitable
3,0,107.55337499999999,-6.998875,250m,0.48029364781004186,0.9733012727413708,0.0,0.0,0.015035155506552099,0.011507563242151606,0.02215083703838591,0.010067039436586251,0.02287229103275375,0.7621811450477943,0.1898461666568842,0.2274171675568691,0.34424654908172575,0.37368667,Moderately Suitable
4,0,107.55337499999999,-6.996625000000001,250m,0.4651441084264323,0.9434321605269785,0.017631635340742795,0.0,0.014322743581738732,0.0,0.0,0.0,0.0,0.7504030570409366,0.2172152717516267,0.26273321211511347,0.32402880586166843,0.36875194,Moderately Suitable
5,0,107.55337499999999,-6.994375,250m,0.4465372639034807,1.0,0.01701351582147143,0.011806925040734112,0.0,0.01248245566333719,0.0,0.0,0.03632892201449312,0.8215542357757475,0.0,0.13367645671532305,0.3260314367743843,0.3166763,Not Suitable
6,1,107.551125,-6.994375,250m,0.44613922704406445,1.0,0.012665663591256947,0.03879404620604477,0.007982339694149939,0.018447056269125926,0.009469509769955722,0.030324318107368135,0.0,0.8376581638841972,0.0027987265759041595,0.1605260190212227,0.28436611583767585,0.3371083,Not Suitable
7,1,107.551125,-6.992125,250m,0.4584549209634442,0.9706450267777261,0.0,0.0,0.0,0.0,0.0,0.040124817710479474,0.057049679199473007,0.8497791116818001,0.0,0.1557347281664322,0.31664715600953486,0.34309205,Not Suitable
8,1,107.551125,-6.989874999999999,250m,0.44702500756378116,0.9344062827899269,0.00803803100848297,0.0,0.0026465638320883364,0.0,0.016749762167675892,0.0,0.001806476312952581,0.8210168976354604,0.0,0.2614389102327373,0.2789830865109944,0.32917604,Not Suitable
9,1,107.55337499999999,-6.994375,250m,0.4478600363846037,0.9589743923041322,0.031017378798617667,0.005560385486542256,0.0,0.0,0.0,0.02915209988813862,0.0,0.8366903346123777,0.0,0.1394022981895179,0.30448425658677536,0.31547144,Not Suitable
10,1,107.55337499999999,-6.992125,250m,0.4667795700080502,0.9971547339532956,0.0175331527328269,0.027746105412093262,0.011729943834132015,0.0,0.0,0.0,0.0,0.8792531751855452,0.0,0.15886237438565393,0.28034363565353587,0.3588249,Moderately Suitable
11,1,107.55337499999999,-6.989874999999999,250m,0.46267231772334333,0.9464718452599017,0.027211791208601847,0.0030565612903236156,0.0,0.0,0.006915379865195581,0.0,0.0,0.8257634996545627,0.0,0.2956922270866723,0.28420655767259634,0.3553316,Moderately Suitable
12,2,107.551125,-6.989874999999999,250m,0.4510956548951843,0.9653917543506043,0.0,0.0,0.0,0.02317669071586078,0.0,0.01569947848310645,0.0,0.8283634430196505,0.0,0.31109968965192564,0.3051257473896384,0.33116052,Not Suitable
13,2,107.551125,-6.9876249999999995,250m,0.4506686823441507,0.9824481700596712,0.0,0.0,0.038128488752695644,0.0,0.0,0.016137037401419998,0.046371045054374206,0.8145386960761362,0.026957925847498437,0.2925398337754086,0.2861949716410645,0.33402652,Not Suitable
14,2,107.551125,-6.985375,250m,0.45559654006118083,0.8942470628830951,0.0164005867516132,0.020098926841274865,0.04392502601194875,0.0,0.0,0.0,0.0,0.7291691376239843,0.0008859370626213683,0.2387164778951674,0.35892834311119376,0.32830152,Not Suitable
15,2,107.55337499999999,-6.989874999999999,250m,0.44009784571748983,0.98592461117044,0.0,0.04984711052555576,0.0,0.0,0.0,0.0,0.0022203493411058362,0.8597757693944794,0.0,0.3083099939825089,0.29069349311996556,0.3443492,Not Suitable
